province,confirmed-cases
Hải Dương,773
Đà Nẵng,556
Hà Nội,419
TP. Hồ Chí Minh,273
Bắc Ninh,152
Khánh Hòa,139
Quảng Nam,121
Bà Rịa – Vũng Tàu,109
Bắc Giang,106
Vĩnh Phúc,94
Quảng Ninh,89
Hưng Yên,59
Bạc Liêu,52
Thái Bình,52
Bình Dương,44
Kiên Giang,39
Tây Ninh,38
Ninh Bình,36
Cần Thơ,34
Hòa Bình,31
Phú Yên,29
Đồng Nai,28
Đồng Tháp,28
Gia Lai,27
Hà Nam,25
Thanh Hóa,25
Nam Định,22
Bến Tre,20
Quảng Trị,13
Hà Tĩnh,12
Ninh Thuận,12
Vĩnh Long,12
Bình Thuận,11
Hải Phòng,10
Lạng Sơn,10
Long An,9
An Giang,8
Cà Mau,8
Tiền Giang,8
Trà Vinh,8
Quảng Ngãi,7
Thái Nguyên,6
Thừa Thiên – Huế,6
Đắk Lắk,5
Điện Biên,5
Nghệ An,5
Yên Bái,5
Phú Thọ,4
Sóc Trăng,4
Hà Giang,2
Lào Cai,2
Lai Châu,1
